date,product_id,currency,price
20160101,1,EUR,1.0
20160101,1,EUR,2.0
20160101,1,EUR,3.0
20160101,1,EUR,4.0
20160101,1,EUR,5.0
20160101,1,EUR,6.0
20160101,1,EUR,7.0
20160101,1,EUR,8.0
20160101,1,EUR,9.0
20160101,1,EUR,10.0
20160101,1,EUR,11.0
20160101,1,EUR,12.0
20160101,1,EUR,13.0
20160101,1,EUR,14.0
20160101,1,EUR,15.0
20160101,1,EUR,16.0
20160101,1,EUR,17.0
20160101,1,EUR,18.0
20160101,1,EUR,19.0
20160101,1,EUR,20.0
20160101,1,EUR,21.0
20160101,1,EUR,22.0
20160101,1,EUR,23.0
20160101,1,EUR,24.0
20160101,1,EUR,25.0
20160101,1,EUR,26.0
20160101,1,EUR,27.0
20160101,1,EUR,28.0
20160101,1,EUR,29.0
20160101,1,EUR,30.0
20160101,1,EUR,31.0
20160101,1,EUR,32.0
20160101,1,EUR,33.0
20160101,1,EUR,34.0
20160101,1,EUR,35.0
20160101,1,EUR,36.0
20160101,1,EUR,37.0
20160101,1,EUR,38.0
20160101,1,EUR,39.0
20160101,1,EUR,40.0
20160101,1,EUR,41.0
20160101,1,EUR,42.0
20160101,1,EUR,43.0
20160101,1,EUR,44.0
20160101,1,EUR,45.0
20160101,1,EUR,46.0
20160101,1,EUR,47.0
20160101,1,EUR,48.0
20160101,1,EUR,49.0
20160101,1,EUR,50.0
20160101,1,EUR,51.0
20160101,1,EUR,52.0
20160101,1,EUR,53.0
20160101,1,EUR,54.0
20160101,1,EUR,55.0
20160101,1,EUR,56.0
20160101,1,EUR,57.0
20160101,1,EUR,58.0
20160101,1,EUR,59.0
20160101,1,EUR,60.0
20160101,1,EUR,61.0
20160101,1,EUR,62.0
20160101,1,EUR,63.0
20160101,1,EUR,64.0
20160101,1,EUR,65.0
20160101,1,EUR,66.0
20160101,1,EUR,67.0
20160101,1,EUR,68.0
20160101,1,EUR,69.0
20160101,1,EUR,70.0
20160101,1,EUR,71.0
20160101,1,EUR,72.0
20160101,1,EUR,73.0
20160101,1,EUR,74.0
20160101,1,EUR,75.0
20160101,1,EUR,76.0
20160101,1,EUR,77.0
20160101,1,EUR,78.0
20160101,1,EUR,79.0
20160101,1,EUR,80.0
20160101,1,EUR,81.0
20160101,1,EUR,82.0
20160101,1,EUR,83.0
20160101,1,EUR,84.0
20160101,1,EUR,85.0
20160101,1,EUR,86.0
20160101,1,EUR,87.0
20160101,1,EUR,88.0
20160101,1,EUR,89.0
20160101,1,EUR,90.0
20160101,1,EUR,91.0
20160101,1,EUR,92.0
20160101,1,EUR,93.0
20160101,1,EUR,94.0
20160101,1,EUR,95.0
20160101,1,EUR,96.0
20160101,1,EUR,97.0
20160101,1,EUR,98.0
20160101,1,EUR,99.0
20160101,1,EUR,100.0
20160101,1,EUR,101.0
20160101,1,EUR,102.0
20160101,1,EUR,103.0
20160101,1,EUR,104.0
20160101,1,EUR,105.0
20160101,1,EUR,106.0
20160101,1,EUR,107.0
20160101,1,EUR,108.0
20160101,1,EUR,109.0
20160101,1,EUR,110.0
20160101,1,EUR,111.0
20160101,1,EUR,112.0
20160101,1,EUR,113.0
20160101,1,EUR,114.0
20160101,1,EUR,115.0
20160101,1,EUR,116.0
20160101,1,EUR,117.0
20160101,1,EUR,118.0
20160101,1,EUR,119.0
20160101,1,EUR,120.0
20160101,1,EUR,121.0
20160101,1,EUR,122.0
20160101,1,EUR,123.0
20160101,1,EUR,124.0
20160101,1,EUR,125.0
20160101,1,EUR,126.0
20160101,1,EUR,127.0
20160101,1,EUR,128.0
20160101,1,EUR,129.0
20160101,1,EUR,130.0
20160101,1,EUR,131.0
20160101,1,EUR,132.0
20160101,1,EUR,133.0
20160101,1,EUR,134.0
20160101,1,EUR,135.0
20160101,1,EUR,136.0
20160101,1,EUR,137.0
20160101,1,EUR,138.0
20160101,1,EUR,139.0
20160101,1,EUR,140.0
20160101,1,EUR,141.0
20160101,1,EUR,142.0
20160101,1,EUR,143.0
20160101,1,EUR,144.0
20160101,1,EUR,145.0
20160101,1,EUR,146.0
20160101,1,EUR,147.0
20160101,1,EUR,148.0
20160101,1,EUR,149.0
20160101,1,EUR,150.0
20160101,1,EUR,151.0
20160101,1,EUR,152.0
20160101,1,EUR,153.0
20160101,1,EUR,154.0
20160101,1,EUR,155.0
20160101,1,EUR,156.0
20160101,1,EUR,157.0
20160101,1,EUR,158.0
20160101,1,EUR,159.0
20160101,1,EUR,160.0
20160101,1,EUR,161.0
20160101,1,EUR,162.0
20160101,1,EUR,163.0
20160101,1,EUR,164.0
20160101,1,EUR,165.0
20160101,1,EUR,166.0
20160101,1,EUR,167.0
20160101,1,EUR,168.0
20160101,1,EUR,169.0
20160101,1,EUR,170.0
20160101,1,EUR,171.0
20160101,1,EUR,172.0
20160101,1,EUR,173.0
20160101,1,EUR,174.0
20160101,1,EUR,175.0
20160101,1,EUR,176.0
20160101,1,EUR,177.0
20160101,1,EUR,178.0
20160101,1,EUR,179.0
20160101,1,EUR,180.0
20160101,1,EUR,181.0
20160101,1,EUR,182.0
20160101,1,EUR,183.0
20160101,1,EUR,184.0
20160101,1,EUR,185.0
20160101,1,EUR,186.0
20160101,1,EUR,187.0
20160101,1,EUR,188.0
20160101,1,EUR,189.0
20160101,1,EUR,190.0
20160101,1,EUR,191.0
20160101,1,EUR,192.0
20160101,1,EUR,193.0
20160101,1,EUR,194.0
20160101,1,EUR,195.0
20160101,1,EUR,196.0
20160101,1,EUR,197.0
20160101,1,EUR,198.0
20160101,1,EUR,199.0
20160101,1,EUR,200.0
20160101,1,EUR,201.0
20160101,1,EUR,202.0
20160101,1,EUR,203.0
20160101,1,EUR,204.0
20160101,1,EUR,205.0
20160101,1,EUR,206.0
20160101,1,EUR,207.0
20160101,1,EUR,208.0
20160101,1,EUR,209.0
20160101,1,EUR,210.0
20160101,1,EUR,211.0
20160101,1,EUR,212.0
20160101,1,EUR,213.0
20160101,1,EUR,214.0
20160101,1,EUR,215.0
20160101,1,EUR,216.0
20160101,1,EUR,217.0
20160101,1,EUR,218.0
20160101,1,EUR,219.0
20160101,1,EUR,220.0
20160101,1,EUR,221.0
20160101,1,EUR,222.0
20160101,1,EUR,223.0
20160101,1,EUR,224.0
20160101,1,EUR,225.0
20160101,1,EUR,226.0
20160101,1,EUR,227.0
20160101,1,EUR,228.0
20160101,1,EUR,229.0
20160101,1,EUR,230.0
20160101,1,EUR,231.0
20160101,1,EUR,232.0
20160101,1,EUR,233.0
20160101,1,EUR,234.0
20160101,1,EUR,235.0
20160101,1,EUR,236.0
20160101,1,EUR,237.0
20160101,1,EUR,238.0
20160101,1,EUR,239.0
20160101,1,EUR,240.0
20160101,1,EUR,241.0
20160101,1,EUR,242.0
20160101,1,EUR,243.0
20160101,1,EUR,244.0
20160101,1,EUR,245.0
20160101,1,EUR,246.0
